s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10
 0.0000000E+000, 0.0000000E+000,-1.7387878E-002,-1.8007946E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7388058E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001,-5.9310252E-001
 1.2510865E+000, 0.0000000E+000,-2.0493801E-003,-2.2914371E-005,-5.4484721E-006, 0.0000000E+000,-1.0904613E-003, 0.0000000E+000,-2.7718125E-003,-3.1682042E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9286032E-001,-5.9227741E-001,-5.9336632E-001,-5.9313996E-001,-6.1497870E-001,-5.9795215E-001,-6.0323426E-001,-5.9391859E-001,-5.9523498E-001,-6.0205075E-001
 2.5021729E+000, 0.0000000E+000,-5.0247743E-004,-3.5837417E-005,-4.2584832E-006, 0.0000000E+000,-2.1042543E-004, 0.0000000E+000,-7.7740503E-004,-7.5299877E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9348643E-001,-5.9407177E-001,-5.9374351E-001,-5.9311507E-001,-6.2371604E-001,-5.9873664E-001,-6.0509019E-001,-5.9403677E-001,-5.9554322E-001,-6.0351529E-001
 3.6490023E+000, 0.0000000E+000,-1.4417587E-004, 3.8590468E-005,-1.8760464E-006, 0.0000000E+000,-6.1813756E-005, 0.0000000E+000,-2.2281315E-004,-1.6927521E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9289016E-001,-5.9266354E-001,-5.9357090E-001,-5.9314627E-001,-6.2635888E-001,-5.9892937E-001,-6.0544201E-001,-5.9406430E-001,-5.9560400E-001,-6.0378747E-001
 4.9000888E+000, 0.0000000E+000,-3.9157433E-005,-2.1789889E-005,-4.4874562E-007, 0.0000000E+000,-1.6447823E-005, 0.0000000E+000,-6.1483573E-005,-7.7843891E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9329173E-001,-5.9318635E-001,-5.9352511E-001,-5.9312486E-001,-6.2718109E-001,-5.9894702E-001,-6.0557226E-001,-5.9406209E-001,-5.9560687E-001,-6.0387899E-001
 6.0469179E+000, 0.0000000E+000,-1.1959695E-005, 2.9237981E-005, 3.8481990E-007, 0.0000000E+000,-4.9258655E-006, 0.0000000E+000,-1.7462412E-005, 1.2737240E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9314006E-001,-5.9347352E-001,-5.9369284E-001,-5.9313219E-001,-6.2741549E-001,-5.9895151E-001,-6.0556686E-001,-5.9406608E-001,-5.9561040E-001,-6.0388707E-001
 7.2980046E+000, 0.0000000E+000,-2.5166701E-006,-2.6105391E-006, 8.8772070E-007, 0.0000000E+000,-9.1442552E-007, 0.0000000E+000,-2.0538038E-006,-5.1539141E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9304353E-001,-5.9276109E-001,-5.9351387E-001,-5.9313745E-001,-6.2751899E-001,-5.9894835E-001,-6.0557606E-001,-5.9406183E-001,-5.9560482E-001,-6.0387856E-001
 8.4448338E+000, 0.0000000E+000, 8.3744343E-007, 5.1065754E-006, 1.2350018E-006, 0.0000000E+000, 7.9148640E-007, 0.0000000E+000, 3.3085308E-006, 7.9705071E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9323304E-001,-5.9331795E-001,-5.9357135E-001,-5.9312796E-001,-6.2750108E-001,-5.9894170E-001,-6.0555581E-001,-5.9406191E-001,-5.9560179E-001,-6.0386825E-001
 9.6959200E+000, 0.0000000E+000, 2.2384044E-006, 1.6585147E-005, 1.5288785E-006, 0.0000000E+000, 1.5876174E-006, 0.0000000E+000, 6.0141441E-006, 2.1940047E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9299275E-001,-5.9306813E-001,-5.9359788E-001,-5.9314025E-001,-6.2747120E-001,-5.9892601E-001,-6.0553719E-001,-5.9405881E-001,-5.9559717E-001,-6.0384347E-001
 1.0842750E+001, 0.0000000E+000, 2.9918350E-006,-1.9504032E-005, 1.7539690E-006, 0.0000000E+000, 1.6367281E-006, 0.0000000E+000, 7.2462353E-006,-1.3121500E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9312142E-001,-5.9295032E-001,-5.9351565E-001,-5.9313425E-001,-6.2743822E-001,-5.9892089E-001,-6.0551865E-001,-5.9405688E-001,-5.9559175E-001,-6.0382642E-001
 1.2093836E+001, 0.0000000E+000, 3.4663637E-006,-1.7646472E-005, 1.9346693E-006, 0.0000000E+000, 2.2666633E-006, 0.0000000E+000, 8.1424544E-006,-9.9787755E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9306465E-001,-5.9319345E-001,-5.9356216E-001,-5.9313745E-001,-6.2737013E-001,-5.9890374E-001,-6.0548992E-001,-5.9405415E-001,-5.9558670E-001,-6.0379970E-001
 1.3240665E+001, 0.0000000E+000, 3.7974331E-006, 9.8914707E-006, 2.0643713E-006, 0.0000000E+000, 2.2402485E-006, 0.0000000E+000, 8.8148076E-006, 1.7993524E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9299422E-001,-5.9295959E-001,-5.9353882E-001,-5.9314163E-001,-6.2731578E-001,-5.9889189E-001,-6.0546916E-001,-5.9405146E-001,-5.9558115E-001,-6.0377605E-001
 1.4491752E+001, 0.0000000E+000, 4.0446821E-006, 2.3828024E-005, 2.1851535E-006, 0.0000000E+000, 2.3913785E-006, 0.0000000E+000, 9.2016150E-006, 3.2449238E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9307371E-001,-5.9301527E-001,-5.9351224E-001,-5.9313847E-001,-6.2725055E-001,-5.9887779E-001,-6.0543782E-001,-5.9404848E-001,-5.9557498E-001,-6.0374859E-001
 1.5638581E+001, 0.0000000E+000, 4.2448756E-006, 5.3784446E-006, 2.2741047E-006, 0.0000000E+000, 2.6407399E-006, 0.0000000E+000, 9.5977221E-006, 1.4538165E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9296749E-001,-5.9304115E-001,-5.9352016E-001,-5.9314455E-001,-6.2717754E-001,-5.9886283E-001,-6.0541333E-001,-5.9404550E-001,-5.9556945E-001,-6.0372118E-001
