,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-09-14T15:28:25.477+01:00,   0.104E+00,   0.10426,   0.183E+02
      2,2023-09-14T15:28:26.130+01:00,   0.104E+00,   0.20851,   0.193E+02
      3,2023-09-14T15:28:26.706+01:00,   0.104E+00,   0.31277,   0.205E+02
      4,2023-09-14T15:28:26.978+01:00,   0.104E+00,   0.41703,   0.212E+02
      5,2023-09-14T15:28:27.264+01:00,   0.104E+00,   0.52129,   0.217E+02
      6,2023-09-14T15:28:27.839+01:00,   0.104E+00,   0.62554,   0.228E+02
      7,2023-09-14T15:28:28.133+01:00,   0.104E+00,   0.72980,   0.233E+02
      8,2023-09-14T15:28:28.406+01:00,   0.104E+00,   0.83406,   0.238E+02
      9,2023-09-14T15:28:28.972+01:00,   0.104E+00,   0.93831,   0.250E+02
     10,2023-09-14T15:28:29.255+01:00,   0.104E+00,   1.04257,   0.256E+02
     20,2023-09-14T15:28:33.386+01:00,   0.104E+00,   2.08514,   0.325E+02
     30,2023-09-14T15:28:37.732+01:00,   0.104E+00,   3.12772,   0.402E+02
     40,2023-09-14T15:28:41.744+01:00,   0.104E+00,   4.17029,   0.472E+02
     50,2023-09-14T15:28:45.538+01:00,   0.104E+00,   5.21286,   0.540E+02
     60,2023-09-14T15:28:49.683+01:00,   0.104E+00,   6.25543,   0.623E+02
     70,2023-09-14T15:28:53.774+01:00,   0.104E+00,   7.29800,   0.699E+02
     80,2023-09-14T15:28:57.820+01:00,   0.104E+00,   8.34058,   0.768E+02
     90,2023-09-14T15:29:02.246+01:00,   0.104E+00,   9.38315,   0.849E+02
    100,2023-09-14T15:29:06.341+01:00,   0.104E+00,  10.42572,   0.922E+02
    200,2023-09-14T15:29:50.108+01:00,   0.104E+00,  20.85144,   0.168E+03
    300,2023-09-14T15:30:39.016+01:00,   0.104E+00,  31.27716,   0.253E+03
